,Date,Class
600,2016-08-29,0
601,2016-08-25,0
602,2016-08-23,1
603,2016-08-23,0
604,2016-08-22,0
605,2016-08-22,0
606,2016-08-22,0
607,2016-08-22,1
608,2016-08-22,1
609,2016-08-22,1
610,2016-08-20,0
611,2016-08-19,0
612,2016-08-18,0
613,2016-08-18,0
614,2016-08-17,0
615,2016-08-16,0
616,2016-08-16,0
617,2016-08-16,-1
618,2016-08-16,-1
619,2016-08-16,0
620,2016-08-15,0
621,2016-08-15,0
622,2016-08-15,0
623,2016-08-15,0
624,2016-08-12,0
625,2016-08-12,0
626,2016-08-12,0
627,2016-08-12,0
628,2016-08-11,-1
629,2016-08-11,1
630,2016-08-11,1
631,2016-08-11,1
632,2016-08-09,-1
633,2016-08-09,0
634,2016-08-09,1
635,2016-08-07,0
636,2016-08-06,0
637,2016-08-05,0
638,2016-08-04,1
639,2016-08-04,0
640,2016-08-03,0
641,2016-08-02,0
642,2016-08-02,0
643,2016-08-02,0
644,2016-08-02,0
645,2016-08-02,0
646,2016-08-02,0
647,2016-08-02,0
648,2016-08-01,0
649,2016-08-01,0
650,2016-08-01,0
651,2016-08-01,1
652,2016-08-01,0
653,2016-08-01,0
654,2016-08-01,0
655,2016-08-01,0
656,2016-08-01,0
657,2016-07-29,0
658,2016-07-29,0
659,2016-07-29,-1
660,2016-07-29,-1
661,2016-07-28,0
662,2016-07-28,0
663,2016-07-28,0
664,2016-07-28,0
665,2016-07-27,0
666,2016-07-27,1
667,2016-07-27,0
668,2016-07-26,0
669,2016-07-26,-1
670,2016-07-26,0
671,2016-07-26,1
672,2016-07-26,0
673,2016-07-26,0
674,2016-07-25,-1
675,2016-07-25,0
676,2016-07-23,0
677,2016-07-23,0
678,2016-07-22,1
679,2016-07-22,1
680,2016-07-21,0
681,2016-07-20,0
682,2016-07-20,0
683,2016-07-20,1
684,2016-07-20,0
685,2016-07-20,0
686,2016-07-20,0
687,2016-07-19,0
688,2016-07-19,0
689,2016-07-19,0
690,2016-07-19,0
691,2016-07-19,0
692,2016-07-19,0
693,2016-07-19,0
694,2016-07-19,0
695,2016-07-19,0
696,2016-07-19,0
697,2016-07-19,0
698,2016-07-19,0
699,2016-07-19,0
700,2016-07-19,0
701,2016-07-19,0
702,2016-07-19,0
703,2016-07-19,0
704,2016-07-19,0
705,2016-07-19,0
706,2016-07-19,0
707,2016-07-19,0
708,2016-07-19,0
709,2016-07-18,0
710,2016-07-18,0
711,2016-07-17,0
712,2016-07-15,0
713,2016-07-15,0
714,2016-07-15,0
715,2016-07-14,0
716,2016-07-13,0
717,2016-07-12,0
718,2016-07-12,0
719,2016-07-11,0
720,2016-07-11,0
721,2016-07-11,0
722,2016-07-11,0
723,2016-07-10,0
724,2016-07-10,0
725,2016-07-10,0
726,2016-07-08,0
727,2016-07-08,0
728,2016-07-08,1
729,2016-07-07,0
730,2016-07-07,0
731,2016-07-07,0
732,2016-07-07,0
733,2016-07-07,0
734,2016-07-06,0
735,2016-07-05,0
736,2016-07-03,0
737,2016-07-02,0
738,2016-07-01,-1
739,2016-06-30,0
740,2016-06-29,0
741,2016-06-29,0
742,2016-06-28,-1
743,2016-06-28,0
744,2016-06-28,-1
745,2016-06-26,0
746,2016-06-25,0
747,2016-06-23,0
748,2016-06-23,0
749,2016-06-22,0
750,2016-06-22,0
751,2016-06-21,0
752,2016-06-20,0
753,2016-06-19,0
754,2016-06-18,0
755,2016-06-17,-1
756,2016-06-17,1
757,2016-06-17,0
758,2016-06-17,0
759,2016-06-17,0
760,2016-06-17,0
761,2016-06-17,0
762,2016-06-17,0
